,Naive_persistence,XGBoost,LSTM,LSTM_uncertainty,P05,P95
2024-12-31 23:00:00+00:00,0.52,88.90917,31.71678,5.7469435,19.7358717918396,39.389587020874025
2025-01-01 00:00:00+00:00,0.52,89.72074,26.782892,6.057928,18.035381412506105,35.28153057098388
2025-01-01 01:00:00+00:00,0.52,86.40813,35.688034,6.0289927,25.9987154006958,44.06039733886718
2025-01-01 02:00:00+00:00,0.52,80.71227,37.430374,5.610246,28.181260108947754,46.89134330749511
2025-01-01 03:00:00+00:00,0.52,80.050156,43.820385,6.4995794,35.11548252105713,53.63027591705322
2025-01-01 04:00:00+00:00,0.52,92.681244,41.77144,7.0808015,31.14601249694824,53.900448799133294
2025-01-01 05:00:00+00:00,0.52,98.088104,41.46919,6.350417,28.017160987854005,50.54971313476562
2025-01-01 06:00:00+00:00,0.52,99.52256,48.427246,7.329252,34.05612297058106,59.803346633911126
2025-01-01 07:00:00+00:00,0.52,110.472374,56.17385,7.4321456,42.653178215026855,67.54218635559081
2025-01-01 08:00:00+00:00,0.52,106.389656,61.238224,6.4037046,52.97124729156494,72.70655860900878
2025-01-01 09:00:00+00:00,0.52,100.34569,61.186146,9.094842,46.79962692260742,75.41389961242676
2025-01-01 10:00:00+00:00,0.52,96.942894,61.843903,9.151931,46.37246303558349,76.41212921142578
2025-01-01 11:00:00+00:00,0.52,96.622536,60.509476,7.6756616,49.94926204681396,73.93645858764648
2025-01-01 12:00:00+00:00,0.52,96.972725,56.663574,8.573991,41.57105178833008,67.94105606079101
2025-01-01 13:00:00+00:00,0.52,84.33341,55.14624,9.64881,40.73035163879395,73.8597541809082
2025-01-01 14:00:00+00:00,0.52,90.4804,63.318287,9.473429,46.9220365524292,80.03232345581054
2025-01-01 15:00:00+00:00,0.52,113.80997,64.14661,8.734247,49.3665864944458,77.6195671081543
2025-01-01 16:00:00+00:00,0.52,119.02356,65.495476,8.168211,52.529384231567384,76.81715812683106
2025-01-01 17:00:00+00:00,0.52,123.31024,57.569656,10.005763,38.29080753326416,71.69001426696776
2025-01-01 18:00:00+00:00,0.52,113.405334,47.990116,9.303388,35.82209987640381,62.92521820068359
2025-01-01 19:00:00+00:00,0.52,110.15096,16.649168,11.067506,0.01919002532959002,31.826165676116933
2025-01-01 20:00:00+00:00,0.52,77.55093,-3.7703402,8.638565,-21.009375,8.698851013183592
2025-01-01 21:00:00+00:00,0.52,69.186615,-9.725684,8.993558,-23.980778694152832,4.589339590072622
2025-01-01 22:00:00+00:00,0.52,57.765125,-17.198614,9.078196,-30.85301218032837,-2.0780338883400016
